
[2020/9/5 12:42:07 038]  通信猫调试软件    2020/9/5
[2020/9/5 12:42:07 042]  http://tongxinmao.com
[2020/9/5 12:42:07 573]  

[2020/9/5 12:45:21 415]  正在连接MQTT服务器...
[2020/9/5 12:45:21 443]  MQTT连接成功
[2020/9/5 12:45:22 638]  MQTT主题订阅成功
[2020/9/5 12:46:09 808]  DeviceChange
[2020/9/5 12:46:10 004]  DeviceChange
[2020/9/5 12:46:10 264]  DeviceChange
[2020/9/5 12:47:08 145]  DeviceChange
[2020/9/5 12:47:08 318]  DeviceChange
[2020/9/5 12:47:15 548]  DeviceChange
[2020/9/5 12:47:15 707]  DeviceChange
[2020/9/5 12:47:16 019]  DeviceChange
[2020/9/5 12:50:48 992]  DeviceChange
[2020/9/5 12:55:35 511]  正在连接MQTT服务器...
[2020/9/5 12:55:45 587]  通信猫调试软件    2020/9/5
[2020/9/5 12:55:45 591]  http://tongxinmao.com
[2020/9/5 12:55:46 198]  

[2020/9/5 13:05:24 780]  DeviceChange
[2020/9/5 13:16:36 108]  DeviceChange
[2020/9/5 13:16:36 462]  DeviceChange
[2020/9/5 13:16:36 788]  DeviceChange
[2020/9/5 13:18:52 013]  DeviceChange
[2020/9/5 13:18:52 205]  DeviceChange
[2020/9/5 13:18:58 928]  DeviceChange
[2020/9/5 13:18:59 088]  DeviceChange
[2020/9/5 13:18:59 461]  DeviceChange
[2020/9/5 13:19:59 304]  DeviceChange
[2020/9/5 13:19:59 502]  DeviceChange
[2020/9/5 13:20:00 064]  DeviceChange
[2020/9/5 13:20:00 222]  DeviceChange
[2020/9/5 13:20:00 559]  DeviceChange
[2020/9/5 13:20:00 779]  DeviceChange
[2020/9/5 13:20:13 352]  DeviceChange
[2020/9/5 13:20:13 508]  DeviceChange
[2020/9/5 13:20:13 888]  DeviceChange
[2020/9/5 13:21:16 899]  DeviceChange
[2020/9/5 13:21:17 098]  DeviceChange
[2020/9/5 13:21:30 857]  DeviceChange
[2020/9/5 13:21:31 026]  DeviceChange
[2020/9/5 13:21:31 389]  DeviceChange
[2020/9/5 13:24:42 933]  DeviceChange
[2020/9/5 13:29:46 756]  正在连接MQTT服务器...
[2020/9/5 13:29:46 782]  MQTT连接成功
[2020/9/5 13:29:48 271]  MQTT主题订阅成功
[2020/9/5 13:29:50 390]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:29:50 394]  151.419907
[2020/9/5 13:30:05 351]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:30:05 354]  153.369858
[2020/9/5 13:30:20 395]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:30:20 398]  154.877228
[2020/9/5 13:30:35 528]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:30:35 532]  157.463394
[2020/9/5 13:30:50 550]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:30:50 557]  160.710724
[2020/9/5 13:37:33 953]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:37:33 960]  155.094971
[2020/9/5 13:37:49 018]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:37:49 025]  150.984787
[2020/9/5 13:38:04 128]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:38:04 136]  150.136642
[2020/9/5 13:38:19 163]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:38:19 169]  151.855499
[2020/9/5 13:43:31 657]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:44:19 565]  正在连接MQTT服务器...
[2020/9/5 13:44:19 590]  MQTT连接成功
[2020/9/5 13:50:50 869]  通信猫调试软件    2020/9/5
[2020/9/5 13:50:50 875]  http://tongxinmao.com
[2020/9/5 13:50:51 354]  

[2020/9/5 13:51:18 476]  正在连接MQTT服务器...
[2020/9/5 13:51:18 502]  MQTT连接成功
[2020/9/5 13:51:19 201]  MQTT主题订阅成功
[2020/9/5 13:51:35 159]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:51:35 165]  147.963623
[2020/9/5 13:51:50 278]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:51:50 284]  144.306351
[2020/9/5 13:52:05 318]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:52:05 325]  145.376465
[2020/9/5 13:52:20 406]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:52:20 412]  147.751572
[2020/9/5 13:52:35 217]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:52:35 223]  150.772766
[2020/9/5 13:54:47 748]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:54:47 754]  146.465271
[2020/9/5 13:55:02 768]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:55:02 774]  145.376465
[2020/9/5 13:55:17 758]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:55:17 764]  146.247528
[2020/9/5 13:55:32 769]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:55:32 775]  148.615967
[2020/9/5 13:58:43 641]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:58:43 648]  150.984787
[2020/9/5 13:58:58 660]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:58:58 668]  148.833725
[2020/9/5 13:59:13 662]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:59:13 668]  148.833725
[2020/9/5 13:59:28 661]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:59:28 666]  150.984787
[2020/9/5 13:59:43 802]  MQTT[TOPIC:STM32F103ZET6/temperature]接收10字节: 
[2020/9/5 13:59:43 807]  153.581909
